ratio CLD / HTD : 0% number img used  1
0,100,List not found :  , List used : ,25
1,100,List not found :  , List used : ,2
44,100,List not found :  , List used : ,43
52,100,List not found :  , List used : ,53
71,100,List not found :  , List used : ,29
86,0,List not found : ,81 , List used : ,81
141,100,List not found :  , List used : ,142
144,0,List not found : ,198 , List used : ,198
169,100,List not found :  , List used : ,168
180,0,List not found : ,159 , List used : ,159
207,100,List not found :  , List used : ,209
Average  ,72.7273

ratio CLD / HTD : 0% number img used  2
0,50,List not found : ,67 , List used : ,25,67
1,50,List not found : ,89 , List used : ,2,89
44,100,List not found :  , List used : ,43,45
52,50,List not found : ,30 , List used : ,53,30
71,100,List not found :  , List used : ,29,20
86,50,List not found : ,81 , List used : ,81,80
141,100,List not found :  , List used : ,142,199
144,0,List not found : ,198,159 , List used : ,198,159
169,50,List not found : ,198 , List used : ,168,198
180,0,List not found : ,159,140 , List used : ,159,140
207,100,List not found :  , List used : ,209,208
Average  ,59.0909

ratio CLD / HTD : 0% number img used  3
0,66.6667,List not found : ,67 , List used : ,25,67,37
1,33.3333,List not found : ,89,32 , List used : ,2,89,32
44,100,List not found :  , List used : ,43,45,39
52,33.3333,List not found : ,30,31 , List used : ,53,30,31
71,66.6667,List not found : ,50 , List used : ,29,20,50
86,33.3333,List not found : ,81,124 , List used : ,81,80,124
141,100,List not found :  , List used : ,142,199,176
144,33.3333,List not found : ,198,159 , List used : ,198,159,164
169,66.6667,List not found : ,198 , List used : ,168,198,170
180,0,List not found : ,159,140,165 , List used : ,159,140,165
207,66.6667,List not found : ,199 , List used : ,209,208,199
Average  ,54.5455

ratio CLD / HTD : 0% number img used  4
0,50,List not found : ,67,21 , List used : ,25,67,37,21
1,25,List not found : ,89,32,116 , List used : ,2,89,32,116
44,100,List not found :  , List used : ,43,45,39,40
52,25,List not found : ,30,31,59 , List used : ,53,30,31,59
71,50,List not found : ,50,116 , List used : ,29,20,50,116
86,25,List not found : ,81,124,79 , List used : ,81,80,124,79
141,75,List not found : ,131 , List used : ,142,199,176,131
144,25,List not found : ,198,159,168 , List used : ,198,159,164,168
169,50,List not found : ,198,159 , List used : ,168,198,170,159
180,0,List not found : ,159,140,165,134 , List used : ,159,140,165,134
207,75,List not found : ,199 , List used : ,209,208,199,200
Average  ,45.4545

